,increment_sum_abs,funccount,funccount_cum,funccount_cum_neg,percent,percent_cum,percent_cum_neg
311,16512,1,97150,62,0.0010286795868822778,99.93622186561285,0.06377813438714952
312,16528,1,97151,61,0.0010286795868822778,99.93725054519973,0.06274945480026872
313,16560,5,97156,56,0.0051433979344113895,99.94239394313415,0.05760605686585052
314,16640,1,97157,55,0.0010286795868822778,99.94342262272103,0.05657737727896972
315,16656,1,97158,54,0.0010286795868822778,99.94445130230791,0.05554869769208892
316,16688,1,97159,53,0.0010286795868822778,99.94547998189479,0.05452001810520812
317,16720,1,97160,52,0.0010286795868822778,99.94650866148167,0.053491338518327325
318,16768,1,97161,51,0.0010286795868822778,99.94753734106855,0.052462658931446526
319,16896,1,97162,50,0.0010286795868822778,99.94856602065543,0.05143397934456573
320,16912,1,97163,49,0.0010286795868822778,99.94959470024232,0.05040529975768493
321,16960,2,97165,47,0.0020573591737645556,99.95165205941608,0.04834794058392333
322,17104,1,97166,46,0.0010286795868822778,99.95268073900296,0.047319260997042534
323,17456,1,97167,45,0.0010286795868822778,99.95370941858984,0.046290581410161735
324,17520,1,97168,44,0.0010286795868822778,99.95473809817672,0.04526190182328094
325,17536,1,97169,43,0.0010286795868822778,99.9557667777636,0.04423322223640014
326,17584,1,97170,42,0.0010286795868822778,99.95679545735048,0.04320454264951934
327,17984,1,97171,41,0.0010286795868822778,99.95782413693736,0.04217586306263854
328,18944,1,97172,40,0.0010286795868822778,99.95885281652424,0.04114718347575774
329,20544,1,97173,39,0.0010286795868822778,99.95988149611112,0.040118503888876944
330,20688,1,97174,38,0.0010286795868822778,99.960910175698,0.039089824301996146
331,24608,1,97175,37,0.0010286795868822778,99.96193885528488,0.03806114471511535
332,24624,1,97176,36,0.0010286795868822778,99.96296753487177,0.03703246512823455
333,24640,1,97177,35,0.0010286795868822778,99.96399621445865,0.03600378554135375
334,24688,1,97178,34,0.0010286795868822778,99.96502489404553,0.03497510595447295
335,24736,3,97181,31,0.003086038760646834,99.96811093280617,0.031889067193830556
336,24800,1,97182,30,0.0010286795868822778,99.96913961239305,0.030860387606949757
337,32000,1,97183,29,0.0010286795868822778,99.97016829197993,0.02983170802006896
338,32016,2,97185,27,0.0020573591737645556,99.97222565115369,0.027774348846307362
339,32032,1,97186,26,0.0010286795868822778,99.97325433074057,0.026745669259426563
340,32768,1,97187,25,0.0010286795868822778,99.97428301032745,0.025716989672545765
341,32800,1,97188,24,0.0010286795868822778,99.97531168991434,0.024688310085664966
342,33152,1,97189,23,0.0010286795868822778,99.97634036950122,0.023659630498784168
343,39008,1,97190,22,0.0010286795868822778,99.9773690490881,0.02263095091190337
344,40064,7,97197,15,0.007200757108175945,99.98456980619628,0.015430193803723569
345,41504,1,97198,14,0.0010286795868822778,99.98559848578316,0.01440151421684277
346,49200,1,97199,13,0.0010286795868822778,99.98662716537004,0.013372834629961972
347,61808,1,97200,12,0.0010286795868822778,99.98765584495692,0.012344155043081173
348,65568,1,97201,11,0.0010286795868822778,99.9886845245438,0.011315475456200375
349,65808,1,97202,10,0.0010286795868822778,99.98971320413068,0.010286795869319576
350,66560,1,97203,9,0.0010286795868822778,99.99074188371756,0.009258116282438777
351,84208,1,97204,8,0.0010286795868822778,99.99177056330444,0.008229436695557979
352,114624,1,97205,7,0.0010286795868822778,99.99279924289132,0.0072007571086771804
353,160064,3,97208,4,0.003086038760646834,99.99588528165197,0.004114718348034785
354,160096,1,97209,3,0.0010286795868822778,99.99691396123885,0.0030860387611539863
355,262144,1,97210,2,0.0010286795868822778,99.99794264082573,0.002057359174273188
